
idCuenta,FechaCorte,SaldoActual,SaldoMora,diasmora,idEstado,alturamora
1,"2024/01/01",0.0,0.0,0,"3",0
1,"2024/02/01",100.0,0.0,0,"3",0
1,"2024/03/01",500.0,0.0,0,"3",0
1,"2024/04/01",800.0,0.0,0,"3",0
1,"2024/05/01",0.0,0.0,0,"3",0
1,"2024/06/01",1000.0,0.0,0,"3",0
1,"2024/07/01",1100.0,0.0,0,"3",0
1,"2024/08/01",1100.0,1100.0,32,"3",0
1,"2024/09/01",1100.0,1100.0,60,"3",0
1,"2024/10/01",1100.0,1100.0,60,"3",0
2,"2024/01/01",0.0,0.0,0,"3",0
2,"2024/02/01",105.0,0.0,0,"3",0
2,"2024/03/01",525.0,0.0,0,"3",0
2,"2024/04/01",840.0,0.0,0,"3",0
